[14:10:51.090995598] (+?.?????????) lib.eal.thread.lcore.ready: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC, cpuset = "12" }
[14:10:51.091044990] (+0.000049392) lib.eal.thread.lcore.ready: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD, cpuset = "13" }
[14:10:51.091059249] (+0.000014259) lib.eal.thread.lcore.running: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC, f = 0x5651F811F980 }
[14:10:51.091059294] (+0.000000045) lib.eal.thread.lcore.stopped: { cpu_id = 0xC, name = "rte-worker-12" }, { lcore_id = 0xC }
[14:10:51.091061089] (+0.000001795) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xC, rc = 0 }
[14:10:51.091064543] (+0.000003454) lib.eal.thread.lcore.running: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD, f = 0x5651F811F980 }
[14:10:51.091064590] (+0.000000047) lib.eal.thread.lcore.stopped: { cpu_id = 0xD, name = "rte-worker-13" }, { lcore_id = 0xD }
[14:10:51.091064739] (+0.000000149) lib.eal.thread.lcore.ready: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE, cpuset = "14" }
[14:10:51.091065672] (+0.000000933) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xD, rc = 0 }
[14:10:51.091069426] (+0.000003754) lib.eal.thread.lcore.running: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE, f = 0x5651F811F980 }
[14:10:51.091069442] (+0.000000016) lib.eal.thread.lcore.stopped: { cpu_id = 0xE, name = "rte-worker-14" }, { lcore_id = 0xE }
[14:10:51.091070679] (+0.000001237) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xE, rc = 0 }
[14:10:51.091090089] (+0.000019410) lib.eal.thread.lcore.ready: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF, cpuset = "15" }
[14:10:51.091091630] (+0.000001541) lib.eal.thread.lcore.running: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF, f = 0x5651F811F980 }
[14:10:51.091091645] (+0.000000015) lib.eal.thread.lcore.stopped: { cpu_id = 0xF, name = "rte-worker-15" }, { lcore_id = 0xF }
[14:10:51.091092966] (+0.000001321) lib.eal.thread.remote.launch: { cpu_id = 0xB, name = "dpdk-testpmd" }, { f = 0x5651F811F980, arg = 0x0, worker_id = 0xF, rc = 0 }
[14:10:51.155230997] (+0.000000170) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "ixgbevf", size = 0x300, align = 0x0, socket = -1, ptr = 0x17FA9EC00 }
[14:10:51.155816755] (+0.000585758) lib.eal.intr.register: { cpu_id = 0xB, name = "dpdk-testpmd" }, { rc = 0, handle_dev_fd = 32, handle_fd = 31, handle_type = 1, handle_max_intr = 0x0, handle_nb_efd = 0x0, cb = 0x5651F758DF24, cb_arg = 0x5651F927CF40 }
[14:10:51.155817814] (+0.000001059) lib.eal.intr.enable: { cpu_id = 0xB, name = "dpdk-testpmd" }, { rc = 0, handle_dev_fd = 32, handle_fd = 31, handle_type = 1, handle_max_intr = 0x0, handle_nb_efd = 0x0 }
[14:10:51.155924395] (+0.000106581) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "UIO_RES", size = 0x1180, align = 0x0, socket = -1, ptr = 0x17FA9DA00 }
[14:10:51.155924458] (+0.000000063) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "UIO_RES", size = 0x1180, align = 0x0, socket = -1, ptr = 0x17FA9DA00 }
[14:10:51.155924827] (+0.000000369) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "", size = 0x0, align = 0x0, socket = 0, ptr = 0x0 }
[14:10:51.155935402] (+0.000010575) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "", size = 0x0, align = 0x0, socket = 0, ptr = 0x0 }
[14:10:51.155958111] (+0.000022709) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "0000:05:10.1", size = 0x77C8, align = 0x40, socket = -1, ptr = 0x17FA94080 }
[14:10:51.155958128] (+0.000000017) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "0000:05:10.1", size = 0x77C8, align = 0x40, socket = -1, ptr = 0x17FA94080 }
[14:10:51.219879662] (+0.063921534) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "ixgbevf", size = 0x300, align = 0x0, socket = -1, ptr = 0x17FA93D00 }
[14:10:51.219879670] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "ixgbevf", size = 0x300, align = 0x0, socket = -1, ptr = 0x17FA93D00 }
[14:10:51.220461684] (+0.000582014) lib.eal.intr.register: { cpu_id = 0xB, name = "dpdk-testpmd" }, { rc = 0, handle_dev_fd = 34, handle_fd = 33, handle_type = 1, handle_max_intr = 0x0, handle_nb_efd = 0x0, cb = 0x5651F758DF24, cb_arg = 0x5651F9280FC0 }
[14:10:51.220462299] (+0.000000615) lib.eal.intr.enable: { cpu_id = 0xB, name = "dpdk-testpmd" }, { rc = 0, handle_dev_fd = 34, handle_fd = 33, handle_type = 1, handle_max_intr = 0x0, handle_nb_efd = 0x0 }
[14:10:51.220551101] (+0.000088802) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "UIO_RES", size = 0x1180, align = 0x0, socket = -1, ptr = 0x17FA92B00 }
[14:10:51.220551143] (+0.000000042) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "UIO_RES", size = 0x1180, align = 0x0, socket = -1, ptr = 0x17FA92B00 }
[14:10:51.220551359] (+0.000000216) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "", size = 0x0, align = 0x0, socket = 0, ptr = 0x0 }
[14:10:51.220557525] (+0.000006166) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "", size = 0x0, align = 0x0, socket = 0, ptr = 0x0 }
[14:10:51.220576563] (+0.000019038) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "0000:05:10.2", size = 0x77C8, align = 0x40, socket = -1, ptr = 0x17FA89180 }
[14:10:51.220576574] (+0.000000011) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "0000:05:10.2", size = 0x77C8, align = 0x40, socket = -1, ptr = 0x17FA89180 }
[14:10:51.284497535] (+0.063920961) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "ixgbevf", size = 0x300, align = 0x0, socket = -1, ptr = 0x17FA88E00 }
[14:10:51.284497542] (+0.000000007) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "ixgbevf", size = 0x300, align = 0x0, socket = -1, ptr = 0x17FA88E00 }
[14:10:51.285078750] (+0.000581208) lib.eal.intr.register: { cpu_id = 0xB, name = "dpdk-testpmd" }, { rc = 0, handle_dev_fd = 36, handle_fd = 35, handle_type = 1, handle_max_intr = 0x0, handle_nb_efd = 0x0, cb = 0x5651F758DF24, cb_arg = 0x5651F9285040 }
[14:10:51.285079301] (+0.000000551) lib.eal.intr.enable: { cpu_id = 0xB, name = "dpdk-testpmd" }, { rc = 0, handle_dev_fd = 36, handle_fd = 35, handle_type = 1, handle_max_intr = 0x0, handle_nb_efd = 0x0 }
[14:10:51.285170308] (+0.000091007) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "UIO_RES", size = 0x1180, align = 0x0, socket = -1, ptr = 0x17FA87C00 }
[14:10:51.285170324] (+0.000000016) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "UIO_RES", size = 0x1180, align = 0x0, socket = -1, ptr = 0x17FA87C00 }
[14:10:51.285170517] (+0.000000193) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "", size = 0x0, align = 0x0, socket = 0, ptr = 0x0 }
[14:10:51.285176664] (+0.000006147) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "", size = 0x0, align = 0x0, socket = 0, ptr = 0x0 }
[14:10:51.285193999] (+0.000017335) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "0000:05:10.3", size = 0x77C8, align = 0x40, socket = -1, ptr = 0x17FA7E280 }
[14:10:51.285194010] (+0.000000011) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "0000:05:10.3", size = 0x77C8, align = 0x40, socket = -1, ptr = 0x17FA7E280 }
[14:10:51.349115789] (+0.063921779) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "ixgbevf", size = 0x300, align = 0x0, socket = -1, ptr = 0x17FA7DF00 }
[14:10:51.349115796] (+0.000000007) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "ixgbevf", size = 0x300, align = 0x0, socket = -1, ptr = 0x17FA7DF00 }
[14:10:51.349698949] (+0.000583153) lib.eal.intr.register: { cpu_id = 0xB, name = "dpdk-testpmd" }, { rc = 0, handle_dev_fd = 38, handle_fd = 37, handle_type = 1, handle_max_intr = 0x0, handle_nb_efd = 0x0, cb = 0x5651F758DF24, cb_arg = 0x5651F92890C0 }
[14:10:51.349699723] (+0.000000774) lib.eal.intr.enable: { cpu_id = 0xB, name = "dpdk-testpmd" }, { rc = 0, handle_dev_fd = 38, handle_fd = 37, handle_type = 1, handle_max_intr = 0x0, handle_nb_efd = 0x0 }
[14:10:51.349838699] (+0.000138976) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "testpmd: ports", size = 0x5FD000, align = 0x40, socket = -1, ptr = 0x17F480E80 }
[14:10:51.349838894] (+0.000000195) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "testpmd: ports", size = 0x5FD000, align = 0x40, socket = -1, ptr = 0x17F480E80 }
[14:10:51.349842535] (+0.000003641) lib.ethdev.is_valid_port: { cpu_id = 0xB, name = "dpdk-testpmd" }, { port_id = 0x20, is_valid = 0 }
[14:10:51.349842710] (+0.000000175) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480DC0 }
[14:10:51.349842950] (+0.000000240) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480DC0 }
[14:10:51.349843091] (+0.000000141) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480D00 }
[14:10:51.349843100] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480D00 }
[14:10:51.349843179] (+0.000000079) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480C40 }
[14:10:51.349843188] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480C40 }
[14:10:51.349843255] (+0.000000067) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480B80 }
[14:10:51.349843266] (+0.000000011) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480B80 }
[14:10:51.349843349] (+0.000000083) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480AC0 }
[14:10:51.349843358] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480AC0 }
[14:10:51.349843512] (+0.000000154) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480A00 }
[14:10:51.349843536] (+0.000000024) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480A00 }
[14:10:51.349843609] (+0.000000073) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480940 }
[14:10:51.349843617] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480940 }
[14:10:51.349843675] (+0.000000058) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480880 }
[14:10:51.349843684] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480880 }
[14:10:51.349843749] (+0.000000065) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4807C0 }
[14:10:51.349843757] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4807C0 }
[14:10:51.349843840] (+0.000000083) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480700 }
[14:10:51.349843849] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480700 }
[14:10:51.349843908] (+0.000000059) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480640 }
[14:10:51.349843917] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480640 }
[14:10:51.349843977] (+0.000000060) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480580 }
[14:10:51.349843985] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480580 }
[14:10:51.349844044] (+0.000000059) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4804C0 }
[14:10:51.349844052] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4804C0 }
[14:10:51.349844105] (+0.000000053) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480400 }
[14:10:51.349844114] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480400 }
[14:10:51.349844176] (+0.000000062) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480340 }
[14:10:51.349844184] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480340 }
[14:10:51.349844242] (+0.000000058) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480280 }
[14:10:51.349844251] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480280 }
[14:10:51.349844310] (+0.000000059) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4801C0 }
[14:10:51.349844318] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F4801C0 }
[14:10:51.349844462] (+0.000000144) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480100 }
[14:10:51.349844470] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480100 }
[14:10:51.349844619] (+0.000000149) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480040 }
[14:10:51.349844628] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F480040 }
[14:10:51.349844766] (+0.000000138) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FF80 }
[14:10:51.349844774] (+0.000000008) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FF80 }
[14:10:51.349844828] (+0.000000054) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FEC0 }
[14:10:51.349844837] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FEC0 }
[14:10:51.349844894] (+0.000000057) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FE00 }
[14:10:51.349844903] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FE00 }
[14:10:51.349844977] (+0.000000074) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FD40 }
[14:10:51.349844986] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FD40 }
[14:10:51.349845090] (+0.000000104) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FC80 }
[14:10:51.349845099] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FC80 }
[14:10:51.349845173] (+0.000000074) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FBC0 }
[14:10:51.349845182] (+0.000000009) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FBC0 }
[14:10:51.349845261] (+0.000000079) lib.eal.mem.malloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FB00 }
[14:10:51.349845271] (+0.000000010) lib.eal.mem.zmalloc: { cpu_id = 0xB, name = "dpdk-testpmd" }, { type = "INTR_USER_CALLBACK", size = 0x30, align = 0x0, socket = -1, ptr = 0x17F47FB00 }
