0x042A4: LINKS (Link Status register)                 0x70000080
       Link Status:                                   up
       Link Speed:                                    10G
0x05080: FCTRL (Filter Control register)              0x00000400
       Broadcast Accept:                              enabled
       Unicast Promiscuous:                           disabled
       Multicast Promiscuous:                         disabled
       Store Bad Packets:                             disabled
0x04294: MFLCN (TabMAC Flow Control register)         0x0000000A
       Receive Flow Control Packets:                  enabled
       Discard Pause Frames:                          enabled
       Pass MAC Control Frames:                       disabled
       Receive Priority Flow Control Packets:         disabled
0x05088: VLNCTRL (VLAN Control register)              0x48008100
       VLAN Mode:                                     disabled
       VLAN Filter:                                   enabled
0x02100: SRRCTL0 (Split and Replic Rx Control 0)      0x02000402
       Receive Buffer Size:                           2KB
0x03D00: FCCFG (Flow Control Configuration)           0x00000008
       Transmit Flow Control:                         enabled
       Priority Flow Control:                         disabled
0x04240: HLREG0 (Highlander Control 0 register)       0x08012FFF
       Transmit CRC:                                  enabled
       Receive CRC Strip:                             enabled
       Jumbo Frames:                                  enabled
       Pad Short Frames:                              enabled
       Loopback:                                      disabled
0x01884: RDBAH34     (Rx Desc Base Addr High 34)      0x00000000
0x018C4: RDBAH35     (Rx Desc Base Addr High 35)      0x00000000
0x01904: RDBAH36     (Rx Desc Base Addr High 36)      0x00000000
0x01944: RDBAH37     (Rx Desc Base Addr High 37)      0x00000000
0x01984: RDBAH38     (Rx Desc Base Addr High 38)      0x00000000
0x019C4: RDBAH39     (Rx Desc Base Addr High 39)      0x00000000
0x01A04: RDBAH40     (Rx Desc Base Addr High 40)      0x00000000
0x01A44: RDBAH41     (Rx Desc Base Addr High 41)      0x00000000
0x01A84: RDBAH42     (Rx Desc Base Addr High 42)      0x00000000
0x01AC4: RDBAH43     (Rx Desc Base Addr High 43)      0x00000000
0x01B04: RDBAH44     (Rx Desc Base Addr High 44)      0x00000000
0x01B44: RDBAH45     (Rx Desc Base Addr High 45)      0x00000000
0x01B84: RDBAH46     (Rx Desc Base Addr High 46)      0x00000000
0x01BC4: RDBAH47     (Rx Desc Base Addr High 47)      0x00000000
0x01C04: RDBAH48     (Rx Desc Base Addr High 48)      0x00000000
0x01C44: RDBAH49     (Rx Desc Base Addr High 49)      0x00000000
0x01C84: RDBAH50     (Rx Desc Base Addr High 50)      0x00000000
0x01CC4: RDBAH51     (Rx Desc Base Addr High 51)      0x00000000
0x01D04: RDBAH52     (Rx Desc Base Addr High 52)      0x00000000
0x01D44: RDBAH53     (Rx Desc Base Addr High 53)      0x00000000
0x01D84: RDBAH54     (Rx Desc Base Addr High 54)      0x00000000
0x01DC4: RDBAH55     (Rx Desc Base Addr High 55)      0x00000000
0x01E04: RDBAH56     (Rx Desc Base Addr High 56)      0x00000000
0x01E44: RDBAH57     (Rx Desc Base Addr High 57)      0x00000000
0x01E84: RDBAH58     (Rx Desc Base Addr High 58)      0x00000000
0x01EC4: RDBAH59     (Rx Desc Base Addr High 59)      0x00000000
0x01F04: RDBAH60     (Rx Desc Base Addr High 60)      0x00000000
0x01F44: RDBAH61     (Rx Desc Base Addr High 61)      0x00000000
0x01F84: RDBAH62     (Rx Desc Base Addr High 62)      0x00000000
0x01FC4: RDBAH63     (Rx Desc Base Addr High 63)      0x00000000
0x01008: RDLEN00     (Receive Descriptor Length 00)   0x00002000
0x01048: RDLEN01     (Receive Descriptor Length 01)   0x00002000
0x01088: RDLEN02     (Receive Descriptor Length 02)   0x00002000
0x010C8: RDLEN03     (Receive Descriptor Length 03)   0x00002000
0x01108: RDLEN04     (Receive Descriptor Length 04)   0x00002000
0x01148: RDLEN05     (Receive Descriptor Length 05)   0x00002000
0x01188: RDLEN06     (Receive Descriptor Length 06)   0x00002000
0x011C8: RDLEN07     (Receive Descriptor Length 07)   0x00002000
0x01208: RDLEN08     (Receive Descriptor Length 08)   0x00002000
0x01248: RDLEN09     (Receive Descriptor Length 09)   0x00002000
0x01288: RDLEN10     (Receive Descriptor Length 10)   0x00002000
0x012C8: RDLEN11     (Receive Descriptor Length 11)   0x00002000
0x01308: RDLEN12     (Receive Descriptor Length 12)   0x00002000
0x01348: RDLEN13     (Receive Descriptor Length 13)   0x00002000
0x01388: RDLEN14     (Receive Descriptor Length 14)   0x00002000
0x013C8: RDLEN15     (Receive Descriptor Length 15)   0x00002000
0x01408: RDLEN16     (Receive Descriptor Length 16)   0x00002000
0x01448: RDLEN17     (Receive Descriptor Length 17)   0x00002000
0x01488: RDLEN18     (Receive Descriptor Length 18)   0x00002000
0x014C8: RDLEN19     (Receive Descriptor Length 19)   0x00002000
0x01508: RDLEN20     (Receive Descriptor Length 20)   0x00002000
0x01548: RDLEN21     (Receive Descriptor Length 21)   0x00002000
0x01588: RDLEN22     (Receive Descriptor Length 22)   0x00002000
0x015C8: RDLEN23     (Receive Descriptor Length 23)   0x00002000
0x01608: RDLEN24     (Receive Descriptor Length 24)   0x00000000
0x01648: RDLEN25     (Receive Descriptor Length 25)   0x00000000
0x01688: RDLEN26     (Receive Descriptor Length 26)   0x00000000
0x016C8: RDLEN27     (Receive Descriptor Length 27)   0x00000000
0x01708: RDLEN28     (Receive Descriptor Length 28)   0x00000000
0x01748: RDLEN29     (Receive Descriptor Length 29)   0x00000000
0x01788: RDLEN30     (Receive Descriptor Length 30)   0x00000000
0x017C8: RDLEN31     (Receive Descriptor Length 31)   0x00000000
0x01808: RDLEN32     (Receive Descriptor Length 32)   0x00000000
0x01848: RDLEN33     (Receive Descriptor Length 33)   0x00000000
0x01888: RDLEN34     (Receive Descriptor Length 34)   0x00000000
0x018C8: RDLEN35     (Receive Descriptor Length 35)   0x00000000
0x01908: RDLEN36     (Receive Descriptor Length 36)   0x00000000
0x01948: RDLEN37     (Receive Descriptor Length 37)   0x00000000
0x01988: RDLEN38     (Receive Descriptor Length 38)   0x00000000
0x019C8: RDLEN39     (Receive Descriptor Length 39)   0x00000000
0x01A08: RDLEN40     (Receive Descriptor Length 40)   0x00000000
0x01A48: RDLEN41     (Receive Descriptor Length 41)   0x00000000
0x01A88: RDLEN42     (Receive Descriptor Length 42)   0x00000000
0x01AC8: RDLEN43     (Receive Descriptor Length 43)   0x00000000
0x01B08: RDLEN44     (Receive Descriptor Length 44)   0x00000000
0x01B48: RDLEN45     (Receive Descriptor Length 45)   0x00000000
0x01B88: RDLEN46     (Receive Descriptor Length 46)   0x00000000
0x01BC8: RDLEN47     (Receive Descriptor Length 47)   0x00000000
0x01C08: RDLEN48     (Receive Descriptor Length 48)   0x00000000
0x01C48: RDLEN49     (Receive Descriptor Length 49)   0x00000000
0x01C88: RDLEN50     (Receive Descriptor Length 50)   0x00000000
0x01CC8: RDLEN51     (Receive Descriptor Length 51)   0x00000000
0x01D08: RDLEN52     (Receive Descriptor Length 52)   0x00000000
0x01D48: RDLEN53     (Receive Descriptor Length 53)   0x00000000
0x01D88: RDLEN54     (Receive Descriptor Length 54)   0x00000000
0x01DC8: RDLEN55     (Receive Descriptor Length 55)   0x00000000
0x01E08: RDLEN56     (Receive Descriptor Length 56)   0x00000000
0x01E48: RDLEN57     (Receive Descriptor Length 57)   0x00000000
0x01E88: RDLEN58     (Receive Descriptor Length 58)   0x00000000
0x01EC8: RDLEN59     (Receive Descriptor Length 59)   0x00000000
0x01F08: RDLEN60     (Receive Descriptor Length 60)   0x00000000
0x01F48: RDLEN61     (Receive Descriptor Length 61)   0x00000000
0x01F88: RDLEN62     (Receive Descriptor Length 62)   0x00000000
0x01FC8: RDLEN63     (Receive Descriptor Length 63)   0x00000000
0x01010: RDH00       (Receive Descriptor Head 00)     0x00000000
0x01050: RDH01       (Receive Descriptor Head 01)     0x00000000
0x01090: RDH02       (Receive Descriptor Head 02)     0x00000053
0x010D0: RDH03       (Receive Descriptor Head 03)     0x00000000
0x01110: RDH04       (Receive Descriptor Head 04)     0x00000000
0x01150: RDH05       (Receive Descriptor Head 05)     0x00000000
0x01190: RDH06       (Receive Descriptor Head 06)     0x00000000
0x011D0: RDH07       (Receive Descriptor Head 07)     0x00000000
0x01210: RDH08       (Receive Descriptor Head 08)     0x00000000
0x01250: RDH09       (Receive Descriptor Head 09)     0x00000000
0x01290: RDH10       (Receive Descriptor Head 10)     0x00000000
0x012D0: RDH11       (Receive Descriptor Head 11)     0x00000000
0x01310: RDH12       (Receive Descriptor Head 12)     0x00000000
0x01350: RDH13       (Receive Descriptor Head 13)     0x00000000
0x01390: RDH14       (Receive Descriptor Head 14)     0x00000000
0x013D0: RDH15       (Receive Descriptor Head 15)     0x00000050
0x01410: RDH16       (Receive Descriptor Head 16)     0x00000000
0x01450: RDH17       (Receive Descriptor Head 17)     0x00000000
0x01490: RDH18       (Receive Descriptor Head 18)     0x00000000
0x014D0: RDH19       (Receive Descriptor Head 19)     0x00000001
0x01510: RDH20       (Receive Descriptor Head 20)     0x00000000
0x01550: RDH21       (Receive Descriptor Head 21)     0x00000000
0x01590: RDH22       (Receive Descriptor Head 22)     0x00000000
0x015D0: RDH23       (Receive Descriptor Head 23)     0x00000000
0x01610: RDH24       (Receive Descriptor Head 24)     0x00000000
0x01650: RDH25       (Receive Descriptor Head 25)     0x00000000
0x01690: RDH26       (Receive Descriptor Head 26)     0x00000000
0x016D0: RDH27       (Receive Descriptor Head 27)     0x00000000
0x01710: RDH28       (Receive Descriptor Head 28)     0x00000000
0x01750: RDH29       (Receive Descriptor Head 29)     0x00000000
0x01790: RDH30       (Receive Descriptor Head 30)     0x00000000
0x017D0: RDH31       (Receive Descriptor Head 31)     0x00000000
0x01810: RDH32       (Receive Descriptor Head 32)     0x00000000
0x01850: RDH33       (Receive Descriptor Head 33)     0x00000000
0x01890: RDH34       (Receive Descriptor Head 34)     0x00000000
0x018D0: RDH35       (Receive Descriptor Head 35)     0x00000000
0x01910: RDH36       (Receive Descriptor Head 36)     0x00000000
0x01950: RDH37       (Receive Descriptor Head 37)     0x00000000
0x01990: RDH38       (Receive Descriptor Head 38)     0x00000000
0x019D0: RDH39       (Receive Descriptor Head 39)     0x00000000
0x01A10: RDH40       (Receive Descriptor Head 40)     0x00000000
0x01A50: RDH41       (Receive Descriptor Head 41)     0x00000000
0x01A90: RDH42       (Receive Descriptor Head 42)     0x00000000
0x01AD0: RDH43       (Receive Descriptor Head 43)     0x00000000
0x01B10: RDH44       (Receive Descriptor Head 44)     0x00000000
0x01B50: RDH45       (Receive Descriptor Head 45)     0x00000000
0x01B90: RDH46       (Receive Descriptor Head 46)     0x00000000
0x01BD0: RDH47       (Receive Descriptor Head 47)     0x00000000
0x01C10: RDH48       (Receive Descriptor Head 48)     0x00000000
0x01C50: RDH49       (Receive Descriptor Head 49)     0x00000000
0x01C90: RDH50       (Receive Descriptor Head 50)     0x00000000
0x01CD0: RDH51       (Receive Descriptor Head 51)     0x00000000
0x01D10: RDH52       (Receive Descriptor Head 52)     0x00000000
0x01D50: RDH53       (Receive Descriptor Head 53)     0x00000000
0x01D90: RDH54       (Receive Descriptor Head 54)     0x00000000
0x01DD0: RDH55       (Receive Descriptor Head 55)     0x00000000
0x01E10: RDH56       (Receive Descriptor Head 56)     0x00000000
0x01E50: RDH57       (Receive Descriptor Head 57)     0x00000000
0x01E90: RDH58       (Receive Descriptor Head 58)     0x00000000
0x01ED0: RDH59       (Receive Descriptor Head 59)     0x00000000
0x01F10: RDH60       (Receive Descriptor Head 60)     0x00000000
0x01F50: RDH61       (Receive Descriptor Head 61)     0x00000000
0x01F90: RDH62       (Receive Descriptor Head 62)     0x00000000
0x01FD0: RDH63       (Receive Descriptor Head 63)     0x00000000
0x01018: RDT00       (Receive Descriptor Tail 00)     0x000001FF
0x01058: RDT01       (Receive Descriptor Tail 01)     0x000001FF
0x01098: RDT02       (Receive Descriptor Tail 02)     0x0000004F
0x010D8: RDT03       (Receive Descriptor Tail 03)     0x000001FF
0x01118: RDT04       (Receive Descriptor Tail 04)     0x000001FF
0x01158: RDT05       (Receive Descriptor Tail 05)     0x000001FF
0x01198: RDT06       (Receive Descriptor Tail 06)     0x000001FF
0x011D8: RDT07       (Receive Descriptor Tail 07)     0x000001FF
0x01218: RDT08       (Receive Descriptor Tail 08)     0x000001FF
0x01258: RDT09       (Receive Descriptor Tail 09)     0x000001FF
0x01298: RDT10       (Receive Descriptor Tail 10)     0x000001FF
0x012D8: RDT11       (Receive Descriptor Tail 11)     0x000001FF
0x01318: RDT12       (Receive Descriptor Tail 12)     0x000001FF
0x01358: RDT13       (Receive Descriptor Tail 13)     0x000001FF
0x01398: RDT14       (Receive Descriptor Tail 14)     0x000001FF
0x013D8: RDT15       (Receive Descriptor Tail 15)     0x0000004F
0x01418: RDT16       (Receive Descriptor Tail 16)     0x000001FF
0x01458: RDT17       (Receive Descriptor Tail 17)     0x000001FF
0x01498: RDT18       (Receive Descriptor Tail 18)     0x000001FF
0x014D8: RDT19       (Receive Descriptor Tail 19)     0x000001FF
0x01518: RDT20       (Receive Descriptor Tail 20)     0x000001FF
0x01558: RDT21       (Receive Descriptor Tail 21)     0x000001FF
0x01598: RDT22       (Receive Descriptor Tail 22)     0x000001FF
0x015D8: RDT23       (Receive Descriptor Tail 23)     0x000001FF
0x01618: RDT24       (Receive Descriptor Tail 24)     0x00000000
0x01658: RDT25       (Receive Descriptor Tail 25)     0x00000000
0x01698: RDT26       (Receive Descriptor Tail 26)     0x00000000
0x016D8: RDT27       (Receive Descriptor Tail 27)     0x00000000
0x01718: RDT28       (Receive Descriptor Tail 28)     0x00000000
0x01758: RDT29       (Receive Descriptor Tail 29)     0x00000000
0x01798: RDT30       (Receive Descriptor Tail 30)     0x00000000
0x017D8: RDT31       (Receive Descriptor Tail 31)     0x00000000
0x01818: RDT32       (Receive Descriptor Tail 32)     0x00000000
0x01858: RDT33       (Receive Descriptor Tail 33)     0x00000000
0x01898: RDT34       (Receive Descriptor Tail 34)     0x00000000
0x018D8: RDT35       (Receive Descriptor Tail 35)     0x00000000
0x01918: RDT36       (Receive Descriptor Tail 36)     0x00000000
0x01958: RDT37       (Receive Descriptor Tail 37)     0x00000000
0x01998: RDT38       (Receive Descriptor Tail 38)     0x00000000
0x019D8: RDT39       (Receive Descriptor Tail 39)     0x00000000
0x01A18: RDT40       (Receive Descriptor Tail 40)     0x00000000
0x01A58: RDT41       (Receive Descriptor Tail 41)     0x00000000
0x01A98: RDT42       (Receive Descriptor Tail 42)     0x00000000
0x01AD8: RDT43       (Receive Descriptor Tail 43)     0x00000000
0x01B18: RDT44       (Receive Descriptor Tail 44)     0x00000000
0x01B58: RDT45       (Receive Descriptor Tail 45)     0x00000000
0x01B98: RDT46       (Receive Descriptor Tail 46)     0x00000000
0x01BD8: RDT47       (Receive Descriptor Tail 47)     0x00000000
0x01C18: RDT48       (Receive Descriptor Tail 48)     0x00000000
0x01C58: RDT49       (Receive Descriptor Tail 49)     0x00000000
0x01C98: RDT50       (Receive Descriptor Tail 50)     0x00000000
0x01CD8: RDT51       (Receive Descriptor Tail 51)     0x00000000
0x01D18: RDT52       (Receive Descriptor Tail 52)     0x00000000
0x01D58: RDT53       (Receive Descriptor Tail 53)     0x00000000
0x01D98: RDT54       (Receive Descriptor Tail 54)     0x00000000
0x01DD8: RDT55       (Receive Descriptor Tail 55)     0x00000000
0x01E18: RDT56       (Receive Descriptor Tail 56)     0x00000000
0x01E58: RDT57       (Receive Descriptor Tail 57)     0x00000000
0x01E98: RDT58       (Receive Descriptor Tail 58)     0x00000000
0x01ED8: RDT59       (Receive Descriptor Tail 59)     0x00000000
0x01F18: RDT60       (Receive Descriptor Tail 60)     0x00000000
0x01F58: RDT61       (Receive Descriptor Tail 61)     0x00000000
0x01F98: RDT62       (Receive Descriptor Tail 62)     0x00000000
0x01FD8: RDT63       (Receive Descriptor Tail 63)     0x00000000
0x01028: RXDCTL00    (Receive Descriptor Control 00)  0x42008600
0x01068: RXDCTL01    (Receive Descriptor Control 01)  0x42008600
0x010A8: RXDCTL02    (Receive Descriptor Control 02)  0x42008600
0x010E8: RXDCTL03    (Receive Descriptor Control 03)  0x42008600
0x01128: RXDCTL04    (Receive Descriptor Control 04)  0x42008600
